dep_code;year;deaths
39;2018;2806
39;2019;2790
39;2020;3152
39;2021;3020
40;2012;4068
40;2013;4138
40;2014;4159
40;2015;4360
40;2016;4359
40;2017;4601
40;2018;4534
40;2019;4537
40;2020;4780
40;2021;4856
41;2012;3597
41;2013;3652
41;2014;3532
41;2015;3772
41;2016;3711
41;2017;3899
41;2018;3828
41;2019;3823
41;2020;4176
41;2021;4007
42;2012;7537
42;2013;7226
42;2014;7201
42;2015;7605
42;2016;7551
42;2017;7615
42;2018;7530
42;2019;7794
42;2020;9155
42;2021;8104
43;2012;2567
43;2013;2493
43;2014;2373
43;2015;2676
43;2016;2556
43;2017;2659
43;2018;2599
43;2019;2594
43;2020;3018
43;2021;2737
44;2012;10483
44;2013;10646
44;2014;10369
44;2015;11258
44;2016;11160
44;2017;11520
44;2018;11587
44;2019;11961
44;2020;12417
44;2021;12642
45;2012;5648
45;2013;5790
45;2014;5840
45;2015;6205
45;2016;5980
45;2017;6246
45;2018;6156
45;2019;6229
45;2020;6348
45;2021;6744
46;2012;2096
46;2013;2032
46;2014;2161
46;2015;2294
46;2016;2300
46;2017;2299
46;2018;2274
46;2019;2428
46;2020;2401
46;2021;2386
47;2012;3702
47;2013;3784
47;2014;3770
47;2015;3935
47;2016;3804
47;2017;4115
47;2018;3968
47;2019;4057
47;2020;4316
47;2021;4252
48;2012;954
48;2013;956
48;2014;913
48;2015;998
48;2016;1002
48;2017;1023
48;2018;961
48;2019;989
48;2020;1012
48;2021;1071
49;2012;6462
49;2013;6657
49;2014;6342
49;2015;7021
49;2016;6978
49;2017;7182
49;2018;7212
49;2019;7146
49;2020;7534
49;2021;7466
50;2012;5407
50;2013;5431
50;2014;5302
50;2015;5648
50;2016;5777
50;2017;5716
50;2018;5853
50;2019;5879
50;2020;5953
50;2021;6323
51;2012;4970
51;2013;5002
51;2014;4829
51;2015;5333
51;2016;5202
51;2017;5334
51;2018;5270
51;2019;5120
51;2020;5693
51;2021;5579
52;2012;1995
52;2013;2119
52;2014;2008
52;2015;2145
52;2016;2057
52;2017;2185
52;2018;2148
52;2019;2137
52;2020;2378
52;2021;2323
53;2012;2870
53;2013;2730
53;2014;2759
