dep_code;year;marriages
41;2016;1142
41;2017;1098
41;2018;1117
41;2019;999
41;2020;735
41;2021;1004
42;2012;2790
42;2013;2610
42;2014;2653
42;2015;2633
42;2016;2545
42;2017;2676
42;2018;2532
42;2019;2476
42;2020;1735
42;2021;2436
43;2012;753
43;2013;717
43;2014;754
43;2015;716
43;2016;733
43;2017;764
43;2018;729
43;2019;688
43;2020;477
43;2021;687
44;2012;4947
44;2013;4599
44;2014;4891
44;2015;4785
44;2016;4684
44;2017;4902
44;2018;4759
44;2019;4597
44;2020;3238
44;2021;4672
45;2012;2469
45;2013;2348
45;2014;2393
45;2015;2356
45;2016;2252
45;2017;2165
45;2018;2215
45;2019;2167
45;2020;1539
45;2021;2144
46;2012;678
46;2013;688
46;2014;631
46;2015;598
46;2016;580
46;2017;614
46;2018;635
46;2019;559
46;2020;398
46;2021;568
47;2012;1222
47;2013;1166
47;2014;1270
47;2015;1179
47;2016;1119
47;2017;1152
47;2018;1237
47;2019;1071
47;2020;749
47;2021;990
48;2012;271
48;2013;238
48;2014;227
48;2015;239
48;2016;216
48;2017;261
48;2018;239
48;2019;226
48;2020;148
48;2021;185
49;2012;3070
49;2013;2871
49;2014;2974
49;2015;2854
49;2016;2792
49;2017;2680
49;2018;2675
49;2019;2491
49;2020;1702
49;2021;2624
50;2012;1862
50;2013;1723
50;2014;1872
50;2015;1863
50;2016;1774
50;2017;1843
50;2018;1862
50;2019;1635
50;2020;1048
50;2021;1458
51;2012;2202
51;2013;1951
51;2014;2011
51;2015;2080
51;2016;1824
51;2017;1899
51;2018;1849
51;2019;1767
51;2020;1034
51;2021;1669
52;2012;639
52;2013;671
52;2014;644
52;2015;575
52;2016;539
52;2017;546
52;2018;528
52;2019;517
52;2020;328
52;2021;470
53;2012;1135
53;2013;957
53;2014;1058
53;2015;1016
53;2016;936
53;2017;987
53;2018;1027
53;2019;969
53;2020;567
53;2021;887
54;2012;2792
54;2013;2457
54;2014;2614
54;2015;2613
54;2016;2420
54;2017;2472
54;2018;2385
54;2019;2367
54;2020;1570
54;2021;2278
55;2012;752
55;2013;701
55;2014;715
55;2015;703
55;2016;630
55;2017;639
55;2018;628
55;2019;656
55;2020;362
55;2021;515
56;2012;2637
56;2013;2581
56;2014;2561
56;2015;2607
56;2016;2509
56;2017;2535
56;2018;2539
56;2019;2492
56;2020;1781
56;2021;2421
57;2012;3979
57;2013;3616
57;2014;3884
57;2015;3913
57;2016;3702
57;2017;3666
57;2018;3695
57;2019;3695
57;2020;2469
57;2021;3538
58;2012;754
58;2013;708
58;2014;708
58;2015;665
58;2016;621
58;2017;649
58;2018;606
58;2019;592
58;2020;365
58;2021;579
59;2012;10933
59;2013;10037
59;2014;10219
59;2015;9763
59;2016;9702
59;2017;9449
59;2018;9226
59;2019;8956
59;2020;5893
59;2021;8692
60;2012;3152
60;2013;2966
60;2014;3033
60;2015;2990
60;2016;2948
60;2017;2918
60;2018;2905
60;2019;2777
60;2020;1823
60;2021;2412
61;2012;1170
61;2013;995
61;2014;1100
61;2015;1014
61;2016;924
61;2017;946
61;2018;927
61;2019;906
61;2020;558
61;2021;825
62;2012;6093
62;2013;5471
62;2014;5378
62;2015;5315
62;2016;5311
62;2017;5373
62;2018;5318
62;2019;4948
62;2020;2998
62;2021;4646
63;2012;2114
63;2013;2101
63;2014;2218
63;2015;2034
63;2016;2042
63;2017;2059
63;2018;2094
63;2019;2001
63;2020;1337
63;2021;1904
64;2012;2207
64;2013;2207
64;2014;2299
64;2015;2217
64;2016;2271
64;2017;2175
64;2018;2281
64;2019;2101
64;2020;1489
64;2021;1968
65;2012;781
65;2013;702
65;2014;667
65;2015;642
65;2016;594
65;2017;621
65;2018;671
65;2019;628
65;2020;503
65;2021;629
66;2012;1537
66;2013;1437
66;2014;1613
66;2015;1546
66;2016;1602
66;2017;1558
66;2018;1608
66;2019;1552
66;2020;1145
66;2021;1629
67;2012;4146
67;2013;3959
67;2014;4302
67;2015;4112
67;2016;4206
67;2017;4189
67;2018;4428
67;2019;4160
67;2020;3050
67;2021;4027
68;2012;2977
68;2013;2779
68;2014;2791
68;2015;2769
68;2016;2866
68;2017;2753
68;2018;2953
68;2019;2768
68;2020;1997
68;2021;2720
69;2012;6831
69;2013;6610
69;2014;7000
69;2015;6848
69;2016;6716
69;2017;6771
69;2018;6715
69;2019;6429
69;2020;4797
69;2021;6424
70;2012;957
70;2013;924
70;2014;945
70;2015;818
70;2016;855
70;2017;769
70;2018;753
70;2019;785
70;2020;519
70;2021;720
71;2012;2104
71;2013;1873
71;2014;2055
71;2015;1918
71;2016;1851
71;2017;1901
71;2018;1814
71;2019;1739
71;2020;1176
71;2021;1653
72;2012;2195
72;2013;1939
72;2014;1919
72;2015;1962
72;2016;1894
72;2017;1946
72;2018;1786
72;2019;1752
72;2020;1139
72;2021;1599
73;2012;1605
73;2013;1590
73;2014;1495
73;2015;1565
73;2016;1530
73;2017;1497
73;2018;1599
73;2019;1514
73;2020;1031
73;2021;1473
74;2012;3269
74;2013;3174
74;2014;3083
74;2015;2970
74;2016;2981
74;2017;3001
74;2018;2938
74;2019;2962
74;2020;2108
74;2021;2961
75;2012;9056
75;2013;8430
75;2014;10002
75;2015;9021
75;2016;9150
75;2017;9161
75;2018;9166
75;2019;8845
75;2020;5997
75;2021;8204
76;2012;4963
76;2013;4601
76;2014;4670
76;2015;4667
76;2016;4533
76;2017;4597
76;2018;4555
76;2019;4341
76;2020;2732
76;2021;3973
77;2012;5238
77;2013;4846
77;2014;5064
77;2015;4973
77;2016;5124
77;2017;5027
77;2018;5165
77;2019;4873
77;2020;3310
77;2021;4946
78;2012;4756
78;2013;4608
78;2014;4429
78;2015;4669
78;2016;4582
78;2017;4529
78;2018;4676
78;2019;4634
78;2020;3443
78;2021;4778
79;2012;1274
79;2013;1145
79;2014;1274
79;2015;1190
79;2016;1111
79;2017;1084
79;2018;1120
79;2019;1066
79;2020;699
79;2021;949
80;2012;2081
