dep_code;year;n_doctors;doctor_density_per_100k;pop_jan1;density_check;rel_diff_pct
13;2013;8839;443.460000;1993177;443.462874;0.000648
13;2014;8826;439.960000;2006069;439.964926;0.001120
13;2015;8792;435.980000;2016622;435.976598;-0.000780
13;2016;8892;440.260000;2019717;440.259700;-0.000068
13;2017;8851;437.270000;2024162;437.267373;-0.000601
13;2018;8970;440.930000;2034357;440.925560;-0.001007
13;2019;8990;440.020000;2043110;440.015467;-0.001030
13;2020;9096;444.130000;2048070;444.125445;-0.001026
13;2021;9088;441.820000;2056943;441.820702;0.000159
14;2012;2407;349.930000;687854;349.928909;-0.000312
14;2013;2433;352.640000;689945;352.636804;-0.000906
14;2014;2455;354.940000;691670;354.938048;-0.000550
14;2015;2478;357.280000;693579;357.277253;-0.000769
14;2016;2527;364.290000;693679;364.289534;-0.000128
14;2017;2525;363.830000;694002;363.831805;0.000496
14;2018;2536;365.390000;694056;365.388384;-0.000442
14;2019;2550;366.960000;694905;366.956634;-0.000917
14;2020;2590;371.300000;697547;371.301145;0.000308
14;2021;2666;380.510000;700633;380.513050;0.000802
15;2012;404;274.060000;147415;274.056236;-0.001373
15;2013;405;275.440000;147035;275.444622;0.001678
15;2014;421;287.140000;146618;287.140733;0.000255
15;2015;411;281.090000;146219;281.085221;-0.001700
15;2016;424;290.470000;145969;290.472635;0.000907
15;2017;425;292.810000;145143;292.814672;0.001596
15;2018;418;288.740000;144765;288.743826;0.001325
15;2019;406;280.600000;144692;280.596025;-0.001417
15;2020;400;277.050000;144379;277.048601;-0.000505
15;2021;399;276.650000;144226;276.649148;-0.000308
16;2012;916;259.010000;353657;259.008022;-0.000764
16;2013;926;261.970000;353482;261.965249;-0.001814
16;2014;924;261.130000;353853;261.125383;-0.001768
16;2015;931;263.280000;353613;263.282176;0.000826
16;2016;926;262.110000;353288;262.109101;-0.000343
16;2017;904;256.570000;352335;256.573999;0.001559
16;2018;901;256.130000;351778;256.127444;-0.000998
16;2019;901;255.960000;352015;255.955002;-0.001953
16;2020;889;252.760000;351718;252.759313;-0.000272
16;2021;888;253.090000;350867;253.087352;-0.001046
17;2012;1947;309.670000;628733;309.670401;0.000129
17;2013;1973;311.490000;633417;311.485167;-0.001552
17;2014;1952;306.390000;637089;306.393612;0.001179
17;2015;1975;308.620000;639938;308.623648;0.001182
17;2016;1988;309.570000;642191;309.565223;-0.001543
17;2017;1999;310.260000;644303;310.257751;-0.000725
17;2018;2006;310.080000;646932;310.078957;-0.000336
17;2019;2035;312.420000;651358;312.424197;0.001343
17;2020;2083;317.670000;655709;317.671406;0.000443
17;2021;2100;317.510000;661404;317.506395;-0.001135
18;2012;697;223.470000;311897;223.471210;0.000541
18;2013;706;226.540000;311650;226.536178;-0.001687
18;2014;681;219.490000;310270;219.486254;-0.001707
18;2015;665;215.220000;308992;215.215928;-0.001892
18;2016;663;215.880000;307110;215.883560;0.001649
18;2017;653;214.620000;304256;214.621897;0.000884
18;2018;649;213.900000;303408;213.903391;0.001585
18;2019;655;216.670000;302306;216.667880;-0.000979
18;2020;638;212.010000;300933;212.007324;-0.001262
18;2021;624;208.300000;299573;208.296475;-0.001692
19;2012;695;288.090000;241247;288.086484;-0.001220
19;2013;705;292.800000;240781;292.797189;-0.000960
19;2014;691;286.320000;241340;286.318058;-0.000678
19;2015;700;289.410000;241871;289.410471;0.000163
19;2016;701;290.230000;241535;290.227089;-0.001003
19;2017;686;284.100000;241464;284.100321;0.000113
19;2018;675;280.570000;240583;280.568452;-0.000552
19;2019;659;274.500000;240073;274.499840;-0.000058
19;2020;679;283.870000;239190;283.874744;0.001671
19;2021;673;280.670000;239784;280.669269;-0.000260
21;2012;1927;365.380000;527403;365.375244;-0.001302
21;2013;1949;367.900000;529761;367.901752;0.000476
21;2014;1960;368.850000;531380;368.850916;0.000248
21;2015;1988;372.880000;533147;372.880275;0.000074
21;2016;2011;377.150000;533213;377.147594;-0.000638
21;2017;2055;384.960000;533819;384.961944;0.000505
21;2018;2079;389.900000;533220;389.895353;-0.001192
21;2019;2117;396.350000;534124;396.349911;-0.000022
21;2020;2136;399.190000;535078;399.194136;0.001036
21;2021;2153;402.050000;535503;402.051903;0.000473
22;2012;1621;272.190000;595531;272.194059;0.001491
22;2013;1615;270.480000;597085;270.480752;0.000278
22;2014;1595;266.990000;597397;266.991632;0.000611
22;2015;1599;267.230000;598357;267.231770;0.000662
22;2016;1598;266.800000;598953;266.798897;-0.000413
22;2017;1580;263.850000;598814;263.854886;0.001852
22;2018;1575;262.680000;599584;262.682126;0.000809
22;2019;1549;257.920000;600582;257.916488;-0.001362
22;2020;1550;256.780000;603640;256.775562;-0.001728
22;2021;1556;256.800000;605917;256.800849;0.000331
23;2012;306;251.820000;121517;251.816618;-0.001343
23;2013;318;263.090000;120872;263.088226;-0.000674
23;2014;327;271.190000;120581;271.187003;-0.001105
23;2015;330;274.170000;120365;274.166078;-0.001430
23;2016;315;263.590000;119502;263.593915;0.001485
23;2017;309;260.460000;118638;260.456178;-0.001468
23;2018;300;255.310000;117503;255.312630;0.001030
23;2019;292;250.390000;116617;250.392310;0.000923
23;2020;286;246.560000;115995;246.562352;0.000954
23;2021;289;249.780000;115702;249.779606;-0.000158
24;2012;997;239.440000;416384;239.442438;0.001018
24;2013;1002;240.340000;416909;240.340218;0.000091
24;2014;994;238.740000;416350;238.741443;0.000605
24;2015;989;238.070000;415417;238.074032;0.001693
24;2016;1002;241.570000;414789;241.568605;-0.000578
24;2017;993;240.080000;413606;240.083558;0.001482
24;2018;988;238.980000;413418;238.983305;0.001383
24;2019;990;239.580000;413223;239.580081;0.000034
24;2020;1006;243.700000;412807;243.697418;-0.001060
24;2021;989;239.040000;413730;239.044788;0.002003
25;2012;1898;357.400000;531062;357.397065;-0.000821
25;2013;1932;362.260000;533320;362.259056;-0.000260
25;2014;1921;359.260000;534710;359.260160;0.000044
25;2015;1955;364.090000;536959;364.087388;-0.000717
25;2016;1951;362.270000;538549;362.269728;-0.000075
25;2017;1960;363.590000;539067;363.591168;0.000321
25;2018;1910;352.750000;541454;352.753881;0.001100
25;2019;1931;354.980000;543974;354.980201;0.000057
25;2020;1940;355.830000;545209;355.826848;-0.000886
25;2021;1939;354.420000;547096;354.416775;-0.000910
26;2012;1476;300.410000;491334;300.406648;-0.001116
26;2013;1490;301.190000;494712;301.185336;-0.001548
26;2014;1480;296.500000;499159;296.498711;-0.000435
26;2015;1514;300.020000;504637;300.017636;-0.000788
26;2016;1519;299.010000;508006;299.012216;0.000741
26;2017;1567;306.320000;511553;306.322121;0.000692
26;2018;1556;302.290000;514732;302.293232;0.001069
26;2019;1525;295.110000;516762;295.106838;-0.001071
26;2020;1538;297.080000;517709;297.078088;-0.000644
26;2021;1544;297.230000;519458;297.232885;0.000971
27;2012;1061;179.340000;591616;179.339301;-0.000390
27;2013;1073;180.320000;595043;180.323103;0.001721
27;2014;1093;182.670000;598347;182.669922;-0.000043
27;2015;1093;181.580000;601948;181.577146;-0.001572
27;2016;1101;182.640000;602825;182.640070;0.000038
27;2017;1103;183.270000;601843;183.270388;0.000212
27;2018;1050;175.010000;599962;175.011084;0.000619
27;2019;1027;171.310000;599507;171.307424;-0.001504
27;2020;1060;176.760000;599668;176.764476;0.002532
27;2021;1034;172.640000;598934;172.640057;0.000033
28;2012;950;219.850000;432107;219.852953;0.001343
28;2013;947;218.720000;432967;218.723367;0.001539
28;2014;966;222.700000;433762;222.702772;0.001245
28;2015;949;218.650000;434035;218.645962;-0.001847
28;2016;935;215.470000;433929;215.473038;0.001410
28;2017;925;213.510000;433233;213.510974;0.000456
28;2018;911;210.880000;431997;210.881094;0.000519
28;2019;880;203.900000;431575;203.904304;0.002111
28;2020;864;200.260000;431443;200.258203;-0.000897
28;2021;846;196.160000;431277;196.161632;0.000832
29;2012;2954;327.750000;901293;327.751353;0.000413
29;2013;2974;329.010000;903921;329.011053;0.000320
29;2014;3042;335.820000;905855;335.815335;-0.001389
29;2015;3012;331.790000;907796;331.792605;0.000785
29;2016;3026;333.170000;908249;333.168547;-0.000436
29;2017;3066;337.280000;909028;337.283340;0.000990
29;2018;3095;339.460000;911735;339.462673;0.000787
29;2019;3133;342.370000;915090;342.370696;0.000203
29;2020;3254;354.780000;917179;354.783526;0.000994
29;2021;3271;354.910000;921638;354.911581;0.000446
2A;2012;470;323.180000;145429;323.181759;0.000544
2A;2013;478;320.300000;149234;320.302344;0.000732
2A;2014;469;309.260000;151652;309.260676;0.000219
2A;2015;474;310.350000;152730;310.351601;0.000516
2A;2016;487;315.610000;154303;315.612788;0.000883
2A;2017;509;323.690000;157249;323.690453;0.000140
2A;2018;518;328.150000;157853;328.153409;0.001039
2A;2019;542;341.940000;158507;341.940734;0.000215
2A;2020;544;338.280000;160814;338.279006;-0.000294
2A;2021;552;338.770000;162942;338.770851;0.000251
2B;2012;459;268.690000;170828;268.691315;0.000490
2B;2013;467;273.140000;170974;273.140945;0.000346
2B;2014;476;275.850000;172560;275.846083;-0.001420
2B;2015;491;281.290000;174553;281.289923;-0.000027
2B;2016;491;278.740000;176152;278.736546;-0.001239
2B;2017;493;277.450000;177689;277.451052;0.000379
2B;2018;507;280.570000;180701;280.573987;0.001421
2B;2019;503;276.480000;181933;276.475406;-0.001662
2B;2020;509;278.310000;182887;278.313932;0.001413
2B;2021;531;287.560000;184655;287.563294;0.001145
30;2012;2233;307.740000;725618;307.737680;-0.000754
30;2013;2264;308.780000;733201;308.782994;0.000970
30;2014;2290;311.130000;736029;311.129045;-0.000307
30;2015;2300;311.570000;738189;311.573323;0.001067
30;2016;2302;310.240000;742006;310.240079;0.000025
30;2017;2299;308.930000;744178;308.931465;0.000474
30;2018;2348;314.970000;745458;314.974150;0.001318
30;2019;2350;313.990000;748437;313.987684;-0.000738
30;2020;2393;318.450000;751457;318.448028;-0.000619
30;2021;2415;319.220000;756543;319.215167;-0.001514
31;2012;5297;414.040000;1279349;414.038702;-0.000313
31;2013;5346;411.690000;1298562;411.686157;-0.000933
31;2014;5472;415.280000;1317668;415.279114;-0.000213
31;2015;5627;421.470000;1335103;421.465610;-0.001042
31;2016;5634;417.900000;1348183;417.895790;-0.001007
31;2017;5709;418.960000;1362672;418.956286;-0.000887
31;2018;5795;419.720000;1380672;419.723149;0.000750
31;2019;5832;416.560000;1400039;416.559824;-0.000042
31;2020;5882;415.470000;1415757;415.466779;-0.000775
31;2021;5936;413.840000;1434367;413.841088;0.000263
32;2012;482;254.310000;189530;254.313301;0.001298
32;2013;485;254.890000;190276;254.892892;0.001135
32;2014;494;259.150000;190625;259.147541;-0.000949
32;2015;486;254.540000;190932;254.540884;0.000347
32;2016;478;250.700000;190664;250.702807;0.001120
32;2017;485;253.810000;191091;253.805778;-0.001663
32;2018;475;248.320000;191283;248.323165;0.001275
32;2019;488;254.990000;191377;254.994069;0.001596
32;2020;485;252.840000;191819;252.842523;0.000998
32;2021;507;263.460000;192437;263.462848;0.001081
33;2012;6071;409.180000;1483712;409.176444;-0.000869
33;2013;6096;404.910000;1505517;404.910738;0.000182
33;2014;6193;405.830000;1526016;405.827986;-0.000496
33;2015;6264;404.530000;1548478;404.526251;-0.000927
33;2016;6339;404.610000;1566679;404.613836;0.000948
33;2017;6447;407.170000;1583384;407.165918;-0.001003
33;2018;6650;415.150000;1601845;415.146284;-0.000895
33;2019;6777;417.370000;1623749;417.367463;-0.000608
33;2020;6909;422.210000;1636391;422.209606;-0.000093
33;2021;7044;425.630000;1654970;425.627051;-0.000693
34;2012;4623;429.000000;1077627;428.998160;-0.000429
34;2013;4692;429.540000;1092331;429.540130;0.000030
34;2014;4781;431.730000;1107398;431.732765;0.000640
34;2015;4844;432.430000;1120190;432.426642;-0.000777
34;2016;4888;431.620000;1132481;431.618720;-0.000296
34;2017;4988;435.670000;1144892;435.674282;0.000983
34;2018;5043;435.030000;1159220;435.033902;0.000897
34;2019;5096;433.470000;1175623;433.472295;0.000529
34;2020;5194;436.850000;1188973;436.847599;-0.000550
34;2021;5237;435.730000;1201883;435.732929;0.000672
35;2012;3275;324.930000;1007901;324.932707;0.000833
35;2013;3331;326.590000;1019923;326.593282;0.001005
35;2014;3376;327.060000;1032240;327.055723;-0.001308
35;2015;3458;331.580000;1042884;331.580502;0.000151
35;2016;3522;334.860000;1051779;334.861221;0.000365
35;2017;3540;333.900000;1060199;333.899579;-0.000126
35;2018;3630;339.500000;1069228;339.497282;-0.000801
35;2019;3651;338.210000;1079498;338.212762;0.000817
35;2020;3770;346.240000;1088855;346.235265;-0.001367
35;2021;3844;349.990000;1098325;349.987481;-0.000720
36;2012;486;212.510000;228692;212.512899;0.001364
36;2013;479;210.000000;228091;210.003902;0.001858
36;2014;475;210.010000;226175;210.014369;0.002081
36;2015;474;211.420000;224200;211.418376;-0.000768
36;2016;480;214.760000;223505;214.760296;0.000138
36;2017;468;210.590000;222232;210.590734;0.000349
36;2018;478;216.690000;220595;216.686688;-0.001528
36;2019;455;207.460000;219316;207.463204;0.001544
36;2020;449;205.300000;218707;205.297498;-0.001218
36;2021;455;209.460000;217228;209.457344;-0.001268
37;2012;2193;367.380000;596937;367.375452;-0.001238
37;2013;2208;367.850000;600252;367.845505;-0.001222
37;2014;2243;371.400000;603924;371.404349;0.001171
37;2015;2295;379.360000;604966;379.360162;0.000043
37;2016;2289;377.580000;606223;377.583826;0.001013
37;2017;2274;374.930000;606511;374.931370;0.000365
37;2018;2288;376.460000;607760;376.464394;0.001167
37;2019;2327;381.430000;610079;381.426012;-0.001046
37;2020;2367;386.690000;612119;386.689516;-0.000125
37;2021;2312;377.680000;612160;377.679038;-0.000255
38;2012;4032;329.140000;1224993;329.144738;0.001439
38;2013;4095;331.480000;1235387;331.475076;-0.001485
38;2014;4105;330.090000;1243597;330.090857;0.000260
38;2015;4119;329.240000;1251060;329.240804;0.000244
38;2016;4191;334.500000;1252912;334.500747;0.000223
38;2017;4187;332.640000;1258722;332.638978;-0.000307
38;2018;4316;341.570000;1263563;341.573788;0.001109
38;2019;4297;338.040000;1271166;338.036102;-0.001153
38;2020;4340;339.720000;1277513;339.722570;0.000757
38;2021;4391;341.730000;1284948;341.725891;-0.001202
39;2012;664;254.470000;260932;254.472430;0.000955
39;2013;664;254.890000;260502;254.892477;0.000972
39;2014;645;247.430000;260681;247.428850;-0.000465
39;2015;636;244.060000;260587;244.064362;0.001787
39;2016;644;247.200000;260517;247.200758;0.000307
39;2017;645;247.900000;260188;247.897674;-0.000938
39;2018;627;241.390000;259746;241.389665;-0.000139
39;2019;633;244.210000;259199;244.213905;0.001599
39;2020;662;255.800000;258798;255.797958;-0.000798
39;2021;655;253.330000;258555;253.331013;0.000400
40;2012;1091;277.690000;392884;277.690107;0.000039
40;2013;1095;275.660000;397226;275.661714;0.000622
40;2014;1111;277.420000;400477;277.419178;-0.000296
40;2015;1125;278.990000;403234;278.994331;0.001552
40;2016;1111;274.310000;405010;274.314214;0.001536
40;2017;1119;274.640000;407444;274.638969;-0.000375
40;2018;1133;276.100000;410355;276.102399;0.000869
40;2019;1156;279.440000;413690;279.436293;-0.001327
40;2020;1228;293.690000;418122;293.694185;0.001425
