"dep_code";"year";"edu_share_sup";"edu_is_interpolated"
"28";2016;22.63;False
"28";2017;23.17;True
"28";2018;23.71;True
"28";2019;24.24;True
"28";2020;24.78;True
"28";2021;25.32;True
"29";2012;25.61;True
"29";2013;26.4;True
"29";2014;27.18;True
"29";2015;27.97;True
"29";2016;28.75;False
"29";2017;29.57;True
"29";2018;30.4;True
"29";2019;31.23;True
"29";2020;32.05;True
"29";2021;32.88;True
"2A";2012;21.49;True
"2A";2013;22.31;True
"2A";2014;23.14;True
"2A";2015;23.96;True
"2A";2016;24.79;False
"2A";2017;25.53;True
"2A";2018;26.28;True
"2A";2019;27.02;True
"2A";2020;27.76;True
"2A";2021;28.51;True
"2B";2012;21.29;True
"2B";2013;22.09;True
"2B";2014;22.88;True
"2B";2015;23.68;True
"2B";2016;24.47;False
"2B";2017;24.83;True
"2B";2018;25.19;True
"2B";2019;25.55;True
"2B";2020;25.91;True
"2B";2021;26.27;True
"30";2012;23.72;True
"30";2013;24.35;True
"30";2014;24.97;True
"30";2015;25.6;True
"30";2016;26.22;False
"30";2017;26.78;True
"30";2018;27.33;True
"30";2019;27.89;True
"30";2020;28.45;True
"30";2021;29.0;True
"31";2012;37.49;True
"31";2013;38.34;True
"31";2014;39.2;True
"31";2015;40.05;True
"31";2016;40.91;False
"31";2017;41.65;True
"31";2018;42.39;True
"31";2019;43.13;True
"31";2020;43.87;True
"31";2021;44.61;True
"32";2012;21.75;True
"32";2013;22.41;True
"32";2014;23.06;True
"32";2015;23.72;True
"32";2016;24.38;False
"32";2017;25.04;True
"32";2018;25.7;True
"32";2019;26.35;True
"32";2020;27.01;True
"32";2021;27.67;True
"33";2012;28.57;True
"33";2013;29.46;True
"33";2014;30.36;True
"33";2015;31.25;True
"33";2016;32.14;False
"33";2017;33.06;True
"33";2018;33.97;True
"33";2019;34.89;True
"33";2020;35.81;True
"33";2021;36.72;True
"34";2012;28.77;True
"34";2013;29.58;True
"34";2014;30.38;True
"34";2015;31.19;True
"34";2016;31.99;False
"34";2017;32.7;True
"34";2018;33.41;True
"34";2019;34.12;True
"34";2020;34.84;True
"34";2021;35.55;True
"35";2012;28.72;True
"35";2013;29.66;True
"35";2014;30.6;True
"35";2015;31.54;True
"35";2016;32.48;False
"35";2017;33.36;True
"35";2018;34.24;True
"35";2019;35.12;True
"35";2020;36.01;True
"35";2021;36.89;True
"36";2012;15.57;True
"36";2013;16.09;True
"36";2014;16.6;True
"36";2015;17.12;True
"36";2016;17.63;False
"36";2017;18.18;True
"36";2018;18.73;True
"36";2019;19.28;True
"36";2020;19.83;True
"36";2021;20.38;True
"37";2012;25.33;True
"37";2013;26.1;True
"37";2014;26.88;True
"37";2015;27.65;True
"37";2016;28.43;False
"37";2017;29.17;True
"37";2018;29.91;True
"37";2019;30.65;True
"37";2020;31.39;True
"37";2021;32.13;True
"38";2012;30.31;True
"38";2013;30.97;True
"38";2014;31.62;True
"38";2015;32.28;True
"38";2016;32.94;False
"38";2017;33.63;True
"38";2018;34.32;True
"38";2019;35.0;True
"38";2020;35.69;True
"38";2021;36.38;True
"39";2012;20.22;True
"39";2013;20.84;True
"39";2014;21.45;True
"39";2015;22.07;True
"39";2016;22.68;False
"39";2017;23.32;True
"39";2018;23.97;True
"39";2019;24.61;True
"39";2020;25.25;True
"39";2021;25.9;True
"40";2012;20.99;True
"40";2013;21.58;True
"40";2014;22.18;True
"40";2015;22.77;True
"40";2016;23.36;False
"40";2017;24.05;True
"40";2018;24.74;True
"40";2019;25.44;True
"40";2020;26.13;True
"40";2021;26.82;True
"41";2012;18.81;True
"41";2013;19.43;True
"41";2014;20.06;True
"41";2015;20.68;True
"41";2016;21.3;False
"41";2017;21.81;True
"41";2018;22.32;True
"41";2019;22.84;True
"41";2020;23.35;True
"41";2021;23.86;True
"42";2012;21.48;True
"42";2013;22.01;True
"42";2014;22.53;True
"42";2015;23.06;True
"42";2016;23.58;False
"42";2017;24.25;True
"42";2018;24.91;True
"42";2019;25.58;True
"42";2020;26.25;True
"42";2021;26.91;True
"43";2012;20.11;True
"43";2013;20.73;True
"43";2014;21.34;True
