column_name;total_non_null;years_with_data;n_years
TR6PTSAC12;96;[2012];1
TR7PAUT12;96;[2012];1
TR7PBEN12_TR_DEC;96;[2012];1
TR7PBEN12_TR_DISP;96;[2012];1
TR7PCHO12;96;[2012];1
TR7PIMPOT12;96;[2012];1
TR7PPAT12;96;[2012];1
TR7PPEN12_TR_DEC;96;[2012];1
TR7PPEN12_TR_DISP;96;[2012];1
TR7PPFAM12;96;[2012];1
TR7PPLOGT12;96;[2012];1
TR7PPMINI12;96;[2012];1
TR7PPSOC12;96;[2012];1
TR7PTSA12;96;[2012];1
TR7PTSAC12;96;[2012];1
TR8PAUT12;96;[2012];1
TR8PBEN12_TR_DEC;96;[2012];1
TR8PBEN12_TR_DISP;96;[2012];1
TR8PCHO12;96;[2012];1
TR8PIMPOT12;96;[2012];1
TR8PPAT12;96;[2012];1
TR8PPEN12_TR_DEC;96;[2012];1
TR8PPEN12_TR_DISP;96;[2012];1
TR8PPFAM12;96;[2012];1
TR8PPLOGT12;96;[2012];1
TR8PPMINI12;96;[2012];1
TR8PPSOC12;96;[2012];1
TR8PTSA12;96;[2012];1
TR8PTSAC12;96;[2012];1
TR9PAUT12;96;[2012];1
TR9PBEN12_TR_DEC;96;[2012];1
TR9PBEN12_TR_DISP;96;[2012];1
TR9PCHO12;96;[2012];1
TR9PIMPOT12;96;[2012];1
TR9PPAT12;96;[2012];1
TR9PPEN12_TR_DEC;96;[2012];1
TR9PPEN12_TR_DISP;96;[2012];1
TR9PPFAM12;96;[2012];1
TR9PPLOGT12;96;[2012];1
TR9PPMINI12;96;[2012];1
TR9PPSOC12;96;[2012];1
TR9PTSA12;96;[2012];1
TR9PTSAC12;96;[2012];1
D113_DEC;96;[2013];1
D113_DISP;96;[2013];1
D213_DEC;96;[2013];1
D213_DISP;96;[2013];1
D313_DEC;96;[2013];1
D313_DISP;96;[2013];1
D413_DEC;96;[2013];1
D413_DISP;96;[2013];1
D613_DEC;96;[2013];1
D613_DISP;96;[2013];1
D713_DEC;96;[2013];1
D713_DISP;96;[2013];1
D813_DEC;96;[2013];1
D813_DISP;96;[2013];1
D913_DEC;96;[2013];1
D913_DISP;96;[2013];1
GI13_DEC;96;[2013];1
GI13_DISP;96;[2013];1
NBMEN13_DEC;96;[2013];1
NBMEN13_DISP;96;[2013];1
NBPERS13_DEC;96;[2013];1
NBPERS13_DISP;96;[2013];1
NBUC13_DEC;96;[2013];1
NBUC13_DISP;96;[2013];1
PAUT13;96;[2013];1
PBEN13_DEC;96;[2013];1
PBEN13_DISP;96;[2013];1
PCHO13;96;[2013];1
PIMPOT13;96;[2013];1
PMIMP13;96;[2013];1
PPAT13;96;[2013];1
PPEN13_DEC;96;[2013];1
PPEN13_DISP;96;[2013];1
PPFAM13;96;[2013];1
PPLOGT13;96;[2013];1
PPMINI13;96;[2013];1
PPSOC13;96;[2013];1
PTSA13;96;[2013];1
PTSAC13;96;[2013];1
Q113_DEC;96;[2013];1
Q113_DISP;96;[2013];1
Q213_DEC;96;[2013];1
Q213_DISP;96;[2013];1
Q313_DEC;96;[2013];1
Q313_DISP;96;[2013];1
S80S2013_DEC;96;[2013];1
S80S2013_DISP;96;[2013];1
TP4013_PAU_DEC;96;[2013];1
TP4013_PAU_DISP;96;[2013];1
TP5013_PAU_DEC;96;[2013];1
TP5013_PAU_DISP;96;[2013];1
TP6013_PAU_DEC;96;[2013];1
TP6013_PAU_DISP;96;[2013];1
TP60IP13_PAU_DEC;96;[2013];1
TP60IP13_PAU_DISP;96;[2013];1
TP60Q213_PAU_DEC;96;[2013];1
TP60Q213_PAU_DISP;96;[2013];1
TR10PAUT13;96;[2013];1
TR10PBEN13_TR_DEC;96;[2013];1
TR10PBEN13_TR_DISP;96;[2013];1
TR10PCHO13;96;[2013];1
TR10PIMPOT13;96;[2013];1
TR10PPAT13;96;[2013];1
TR10PPEN13_TR_DEC;96;[2013];1
TR10PPEN13_TR_DISP;96;[2013];1
TR10PPFAM13;96;[2013];1
TR10PPLOGT13;96;[2013];1
TR10PPMINI13;96;[2013];1
TR10PPSOC13;96;[2013];1
TR10PTSA13;96;[2013];1
TR10PTSAC13;96;[2013];1
TR1PAUT13;96;[2013];1
TR1PBEN13_TR_DEC;96;[2013];1
TR1PBEN13_TR_DISP;96;[2013];1
TR1PCHO13;96;[2013];1
TR1PIMPOT13;96;[2013];1
