dep_code;year;total_firm_creations;legal_form_sum;legal_form_diff;sector_sum;sector_diff;status
14;2019;7554;7554;0;7554;0;EXACT
14;2020;7814;7814;0;7814;0;EXACT
14;2021;9244;9244;0;9244;0;EXACT
15;2012;773;773;0;773;0;EXACT
15;2013;739;739;0;739;0;EXACT
15;2014;782;782;0;782;0;EXACT
15;2015;778;778;0;778;0;EXACT
15;2016;718;718;0;718;0;EXACT
15;2017;751;751;0;751;0;EXACT
15;2018;819;819;0;819;0;EXACT
15;2019;900;900;0;900;0;EXACT
15;2020;945;945;0;945;0;EXACT
15;2021;1167;1167;0;1167;0;EXACT
16;2012;2409;2409;0;2409;0;EXACT
16;2013;2551;2551;0;2551;0;EXACT
16;2014;2467;2467;0;2467;0;EXACT
16;2015;2300;2300;0;2300;0;EXACT
16;2016;2184;2184;0;2184;0;EXACT
16;2017;2512;2512;0;2512;0;EXACT
16;2018;2777;2777;0;2777;0;EXACT
16;2019;3181;3181;0;3181;0;EXACT
16;2020;3470;3470;0;3470;0;EXACT
16;2021;3939;3939;0;3939;0;EXACT
17;2012;5902;5902;0;5902;0;EXACT
17;2013;5780;5780;0;5780;0;EXACT
17;2014;5865;5865;0;5865;0;EXACT
17;2015;5635;5635;0;5635;0;EXACT
17;2016;5589;5589;0;5589;0;EXACT
17;2017;6158;6158;0;6158;0;EXACT
17;2018;6923;6923;0;6923;0;EXACT
17;2019;7893;7893;0;7893;0;EXACT
17;2020;8138;8138;0;8138;0;EXACT
17;2021;9465;9465;0;9465;0;EXACT
18;2012;1789;1789;0;1789;0;EXACT
18;2013;1752;1752;0;1752;0;EXACT
18;2014;1828;1828;0;1828;0;EXACT
18;2015;1627;1627;0;1627;0;EXACT
18;2016;1618;1618;0;1618;0;EXACT
18;2017;1648;1648;0;1648;0;EXACT
18;2018;1813;1813;0;1813;0;EXACT
18;2019;2182;2182;0;2182;0;EXACT
18;2020;2503;2503;0;2503;0;EXACT
18;2021;3118;3118;0;3118;0;EXACT
19;2012;1575;1575;0;1575;0;EXACT
19;2013;1584;1584;0;1584;0;EXACT
19;2014;1557;1557;0;1557;0;EXACT
19;2015;1475;1475;0;1475;0;EXACT
19;2016;1444;1444;0;1444;0;EXACT
19;2017;1643;1643;0;1643;0;EXACT
19;2018;1825;1825;0;1825;0;EXACT
19;2019;2077;2077;0;2077;0;EXACT
19;2020;2115;2115;0;2115;0;EXACT
19;2021;2624;2624;0;2624;0;EXACT
21;2012;3895;3895;0;3895;0;EXACT
21;2013;3890;3890;0;3890;0;EXACT
21;2014;4137;4137;0;4137;0;EXACT
21;2015;3954;3954;0;3954;0;EXACT
21;2016;3947;3947;0;3947;0;EXACT
21;2017;4423;4423;0;4423;0;EXACT
21;2018;5039;5039;0;5039;0;EXACT
21;2019;5946;5946;0;5946;0;EXACT
21;2020;6256;6256;0;6256;0;EXACT
21;2021;7141;7141;0;7141;0;EXACT
22;2012;3760;3760;0;3760;0;EXACT
22;2013;3601;3601;0;3601;0;EXACT
22;2014;3755;3755;0;3755;0;EXACT
22;2015;3734;3734;0;3734;0;EXACT
22;2016;3673;3673;0;3673;0;EXACT
22;2017;3963;3963;0;3963;0;EXACT
22;2018;4400;4400;0;4400;0;EXACT
22;2019;4808;4808;0;4808;0;EXACT
22;2020;4745;4745;0;4745;0;EXACT
22;2021;6032;6032;0;6032;0;EXACT
23;2012;786;786;0;786;0;EXACT
23;2013;741;741;0;741;0;EXACT
23;2014;748;748;0;748;0;EXACT
23;2015;632;632;0;632;0;EXACT
23;2016;623;623;0;623;0;EXACT
23;2017;702;702;0;702;0;EXACT
23;2018;692;692;0;692;0;EXACT
23;2019;812;812;0;812;0;EXACT
23;2020;859;859;0;859;0;EXACT
23;2021;985;985;0;985;0;EXACT
24;2012;3411;3411;0;3411;0;EXACT
24;2013;3413;3413;0;3413;0;EXACT
24;2014;3448;3448;0;3448;0;EXACT
24;2015;3287;3287;0;3287;0;EXACT
24;2016;3354;3354;0;3354;0;EXACT
24;2017;3606;3606;0;3606;0;EXACT
24;2018;3715;3715;0;3715;0;EXACT
